# P-values for the first sequence, p-values for the second sequence, matrix IDs, matrix names, and calculated 'Absolute difference log(p) for two sequences' from the norm file. The table is sorted form the highest to the lowest 'Absolute difference log(p) for two sequences'
#/ Rank	Absolute diff_log(p)_for_two_seqs	rs1935581-C	rs1935581-T	Matrix_ID	Matrix_name
1	4.26754914277386	3.43175908001925e-06	0.0635427394577532	M00496	V$STAT1_03
2	4.15850729734403	<3.43175908001925e-06	0.0494338105425711	M00498	V$STAT4_01
3	1.69346311925926	0.00513463247494905	0.253496800641838	M00493	V$STAT5A_03
4	1.58148394691479	0.00907909253017158	0.346358929888986	M00750	V$HMGIY_Q6
5	-1.01133512465154	0.155421847200623	0.0151417803396838	M00912	V$CEBP_Q2_01
6	-0.855287459879307	0.177690607122662	0.0247957364328304	M00725	V$HP1SITEFACTOR_Q6
7	0.804027280658336	0.0457259817871144	0.291199295322782	M00935	V$NFAT_Q4_01
8	-0.795669067991019	0.107147657910544	0.0171519544415241	M00238	V$BARBIE_01
9	-0.730114122082573	0.336018731500644	0.0625531761393545	M01125	V$OCT4_01
10	0.724541041168294	0.10689093626304	0.566867974853019	M01281	V$NFAT1_Q6
11	0.707995307834163	0.0548652428451111	0.280086781867882	M00494	V$STAT6_01
12	0.69584796334259	0.0913696377013481	0.453575790558172	M01004	V$HELIOSA_02
13	0.691500435193551	0.144210968396574	0.708759231222877	M00194	V$NFKB_Q6
14	-0.690462829667919	0.492657701946818	0.100480652597183	M00205	V$GRE_C
15	0.672870014199701	0.0920277852634576	0.433300294929371	M00500	V$STAT6_02
16	-0.669523488326864	0.542705505836047	0.116155756935875	M00671	V$TCF4_Q5
17	0.633955093875514	0.1519011446176	0.653907231603729	M00806	V$NF1_Q6_01
18	-0.591570855239362	0.553218528848305	0.141685648465254	M00057	V$COMP1_01
19	0.551020933658029	0.212414637156523	0.7554493878912	M00193	V$NF1_Q6
20	-0.513022130909497	0.499712683278391	0.153355106370947	M00150	V$BRACH_01
21	0.509469004075115	0.242340674042294	0.783240823875912	M00052	V$NFKAPPAB65_01
22	0.507445616096003	0.2772179651468	0.89179901320785	M01224	V$P50RELAP65_Q5_01
23	-0.505443711683481	0.181836878906894	0.0567856049469448	M01665	V$IRF8_Q6
24	0.485314891396131	0.261978281336512	0.800903478852868	M00086	V$IK1_01
25	0.484955220590866	0.0318455065793276	0.0972754799740352	M01333	V$HDX_01
26	-0.482750790273716	0.259516181679703	0.085391305330545	M01445	V$OBOX6_01
27	0.469376389670947	0.126031354147412	0.371411196904296	M01000	V$AIRE_02
28	-0.458293402082196	0.725520678828391	0.252555245522208	M00978	V$LEF1TCF1_Q4
29	-0.446746849172287	0.843259452839465	0.30144936204373	M00320	V$MTATA_B
30	-0.438615663562796	0.387607955829252	0.141181248776578	M01594	V$TCF3_01
31	-0.433249635990056	0.161367992378977	0.0595069593986911	M00078	V$EVI1_01
32	-0.428787407231857	0.604895314247318	0.225368291875523	M01372	V$NKX22_02
33	-0.424599333534378	0.185506755237219	0.0697847288792073	M01450	V$OBOX1_01
34	-0.422551401958936	0.126058726980546	0.0476454589921889	M01244	V$HSF2_02
35	0.40435326923954	0.185002600862915	0.469387049590091	M01345	V$SIX6_01
36	0.403831469620566	0.0590350416799696	0.149603358687851	M00302	V$NFAT_Q6
37	0.402709404363283	0.257897002048514	0.651862049906545	M01002	V$DEAF1_02
38	-0.394318145196527	0.768335197669549	0.309907854641282	M01384	V$RHOX11_02
39	-0.392615665265319	0.311335251365593	0.126070255151554	M00423	V$FOXJ2_02
40	0.392181397488525	0.328632623201448	0.81075954620446	M00088	V$IK3_01
41	0.385798363191762	0.275917688086227	0.670776602705116	M00054	V$NFKAPPAB_01
42	0.384183757634523	0.169146674787343	0.409682319947635	M00159	V$CEBP_01
43	0.38209171751742	0.175617145815555	0.423310101386962	M00459	V$STAT5B_01
44	0.381021471754997	0.124265954951436	0.298795211624895	M01123	V$NANOG_01
45	0.376455065577726	0.342874323845614	0.815811888364331	M00051	V$NFKAPPAB50_01
46	0.371847717229895	0.200950190727773	0.473081690412363	M00457	V$STAT5A_01
47	-0.362047708477847	0.572822051008799	0.248869697252043	M00619	V$ALX4_01
48	-0.359297211584048	0.314647781854114	0.137571180157783	M01364	V$OBOX2_01
49	-0.357988052188467	0.212622140617315	0.0932439008712618	M01324	V$OCTAMER_01
50	-0.353078964305063	0.56006623099319	0.248405051625211	M01480	V$OBOX5_02
51	-0.352295536084842	0.226497057161431	0.10063916564799	M01466	V$OBOX3_01
52	-0.348924965296565	0.752488827102364	0.336957471528148	M01264	V$TBX15_02
53	0.348007770651239	0.151907379220661	0.338521800264991	M00141	V$LYF1_01
54	0.347568064407684	0.404074061833401	0.899557725506155	M00497	V$STAT3_02
55	0.345290595401153	0.316646138743662	0.701236949641588	M01398	V$SIX6_02
56	-0.344860284100934	0.590342847208254	0.266835754052654	M00206	V$HNF1_C
57	0.340392377381955	0.330869200306446	0.724517231864443	M01358	V$SIX3_01
58	-0.33928648415958	0.338225046861374	0.154852878059691	M00463	V$POU3F2_01
59	0.338178913784791	0.117104503386702	0.255124702012858	M00116	V$CEBPA_01
