# P-values for the first sequence, p-values for the second sequence, matrix IDs, matrix names, and calculated 'Absolute difference log(p) for two sequences' from the norm file. The table is sorted form the highest to the lowest 'Absolute difference log(p) for two sequences'
#/ Rank	Absolute diff_log(p)_for_two_seqs	rs557046152-G	rs557046152-GTT	Matrix_ID	Matrix_name
1	-0.273721197440773	0.928439784429272	0.494347730422923	M01195	V$TBX22_01
2	0.266212367841251	1.55198129218048e-05	2.86482995949244e-05	M00405	V$MMEF2_Q6
3	-0.265746964432773	0.0615417014076559	0.0333750968264627	M00081	V$EVI1_04
4	-0.25499168951353	0.0221685459452751	0.0123238248900281	M01010	V$HMGIY_Q3
5	-0.227201368603832	0.0198301885080372	0.0117523704919237	M00456	V$FAC1_01
6	-0.207596177825902	0.0251456683574008	0.015590749926779	M01183	V$BCL6_01
7	0.199167370398605	0.1000148937396	0.158209314307274	M01000	V$AIRE_02
8	-0.182351306917638	0.824304701966134	0.5416721041625	M00515	V$PPARG_02
9	-0.136008713617809	0.535069825099721	0.391202612415146	M01172	V$PU1_Q4
10	-0.132111486571975	0.00331736589501586	0.00244727001405198	M01653	V$HMGIY_01
11	-0.130071289195248	0.901369328722772	0.668084639857099	M01263	V$TBX15_01
12	-0.123849524374374	0.132790630932008	0.0998430662455855	M01012	V$HNF3_Q6_01
13	-0.110911452723748	0.0725984699149824	0.0562362062265502	M01483	V$DBX1_01
14	-0.11072921575181	0.0694123305173123	0.0537907265494857	M01590	V$SMAD1_01
15	-0.106986074433371	0.0637026999960151	0.0497933981340956	M00791	V$HNF3_Q6
16	-0.103899915266498	0.056803475023306	0.0447172399194039	M01594	V$TCF3_01
17	-0.103555513649894	0.0197855272483121	0.0155880616330388	M01247	V$NANOG_02
18	0.100345031337919	0.311425829577798	0.392373493570766	M00955	V$GR_01
19	0.0858926551708916	0.00187382726813423	0.00228361143865796	M00963	V$T3R_Q6
20	0.0830720923511652	0.011336085739167	0.0137257225015994	M00921	V$GR_Q6_01
21	-0.0737173647703733	0.726287105289889	0.612901901694009	M00057	V$COMP1_01
22	-0.0668218643282142	0.980769100082659	0.840901080009687	M01262	V$TBX18_01
